BUZZER2:1
C1:1
C38:1
C39:1
C40:1
C41:1
C42:1
C43:1
C44:1
C45:1
C46:1
C47:1
C48:1
C49:1
C50:1
C51:1
C52:1
C53:1
C54:1
C55:1
C56:1
C57:1
C58:1
C59:1
C60:1
C61:1
C62:1
C63:1
C64:1
C65:1
C66:1
C67:1
C68:1
C69:1
C70:1
C71:1
C71CERAMIC1:1
C72:1
C73:1
C76:1
C77:1
C78:1
C79:1
C80:1
C81:1
C82:1
C83:1
C9:1
G***:1
J1:1
J2:1
L1:1
L5:1
LED1:1
LED2:1
LED3:1
LED4:1
Q7:1
R10:1
R17:1
R18:1
R19:1
R25:1
R26:1
R27:1
R28:1
R29:1
R30:1
R31:1
R32:1
R33:1
R34:1
R35:1
R36:1
R37:1
R38:1
R39:1
R40:1
R41:1
R42:1
R43:1
R44:1
R45:1
R46:1
R8:1
R9:1
STATUS1:1
SW2:1
SW3:1
TP26:1
TP27:1
TP28:1
TP29:1
TP34:1
TP35:1
TP36:1
TP37:1
TP38:1
TP39:1
TP40:1
TP43:1
TP44:1
TP45:1
TP46:1
TP47:1
TP50:1
TP51:1
TP52:1
TP53:1
TP54:1
TP55:1
TP56:1
TP58:1
TP59:1
TP60:1
TP61:1
TP62:1
TP63:1
TP64:1
TP65:1
TP66:1
TP67:1
TP68:1
TP69:1
TP71:1
TP72:1
TP73:1
TP74:1
TP76:1
TP77:1
TP79:1
TP80:1
TP87:1
TP88:1
TP89:1
U1:1
U11:1
U12:1
U2:1
U3:1
U4:1
U5:1
U6:1
U7:1
U8:1
U9:1
